today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time
2021-08-27,74Y,,OAIX,1,DWC,2021-08-27 22:00:00,0,0,0
2021-08-27,74Y,,OAIX,0,0,0,1,GYD,2021-08-27 23:59:00
2021-08-27,B744,Boeing 747-45E(BDSF),DNA,1,EDF,2021-08-29 01:40:16,0,0,0
2021-08-27,B753,Boeing 757-3E7,BIKF,1,CDG,2021-08-27 23:55:00,0,0,0
2021-08-27,B38M,Boeing 737 MAX 8,BIKF,1,CPH,2021-08-27 23:50:00,0,0,0
2021-08-27,A20N,Airbus A320-271N,BIKF,1,FRA,2021-08-27 23:30:00,0,0,0
2021-08-27,B753,Boeing 757-308,BIKF,1,BLL,2021-08-27 23:30:00,0,0,0
2021-08-27,A21N,Airbus A321-251N,BIKF,1,CPH,2021-08-27 22:55:00,0,0,0
2021-08-27,A321,Airbus A321-231,BIKF,1,KTW,2021-08-27 20:05:00,0,0,0
2021-08-27,A20N,Airbus A320-271N,BIKF,1,FCO,2021-08-27 19:35:00,0,0,0
2021-08-27,B738,Boeing 737-8K2,BIKF,1,AMS,2021-08-27 18:00:00,0,0,0
2021-08-27,B752,Boeing 757-256,BIKF,1,CPH,2021-08-27 16:25:00,0,0,0
2021-08-27,B753,Boeing 757-308,BIKF,1,MUC,2021-08-27 16:00:00,0,0,0
2021-08-27,B752,Boeing 757-256,BIKF,1,ZRH,2021-08-27 15:55:00,0,0,0
2021-08-27,B38M,Boeing 737 MAX 8,BIKF,1,BER,2021-08-27 15:50:00,0,0,0
2021-08-27,7M8,,BIKF,1,HEL,2021-08-27 15:45:00,0,0,0
2021-08-27,B39M,Boeing 737 MAX 9,BIKF,1,CDG,2021-08-27 15:40:00,0,0,0
2021-08-27,B752,Boeing 757-256,BIKF,1,CDG,2021-08-27 15:40:00,0,0,0
2021-08-27,B752,Boeing 757-208,BIKF,1,FRA,2021-08-27 15:40:00,0,0,0
2021-08-27,B763,Boeing 767-319(ER),BIKF,1,CPH,2021-08-27 15:40:00,0,0,0
2021-08-27,B752,Boeing 757-256,BIKF,1,AMS,2021-08-27 15:30:00,0,0,0
2021-08-27,B763,Boeing 767-319(ER),BIKF,1,AMS,2021-08-27 15:25:00,0,0,0
2021-08-27,75W,,BIKF,1,CPH,2021-08-27 15:25:00,0,0,0
