today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time
2021-08-10,B77W,Boeing 777-322(ER),PGUA,1,GUM,2021-08-10 23:35:00,0,0,0
2021-08-10,B77W,Boeing 777-300(ER),PGUA,1,GUM,2021-08-10 09:20:00,0,0,0
2021-08-10,B77W,Boeing 777-300(ER),PGUA,0,0,0,1,TCM,2021-08-10 12:15:00
2021-08-10,B753,Boeing 757-3E7,BIKF,1,TFS,2021-08-11 21:07:12,0,0,0
2021-08-10,A21N,Airbus A321-271NX,BIKF,1,FCO,2021-08-11 20:32:27,0,0,0
2021-08-10,B38M,Boeing 737 MAX 8,BIKF,1,CPH,2021-08-10 23:50:00,0,0,0
2021-08-10,A21N,Airbus A321-271NX,BIKF,1,WAW,2021-08-10 23:20:00,0,0,0
2021-08-10,A21N,Airbus A321-251N,BIKF,1,TFS,2021-08-10 22:40:00,0,0,0
2021-08-10,321,,BIKF,1,LTN,2021-08-10 21:10:00,0,0,0
2021-08-10,A21N,Airbus A321-251N,BIKF,1,ALC,2021-08-10 20:30:56,0,0,0
2021-08-10,B738,Boeing 737-86N,BIKF,1,TFS,2021-08-10 20:30:00,0,0,0
2021-08-10,A320,Airbus A320-232,BIKF,1,GDN,2021-08-10 20:10:00,0,0,0
2021-08-10,737,,BIKF,1,AGP,2021-08-10 18:50:00,0,0,0
2021-08-10,A21N,Airbus A321-271NX,BIKF,1,MXP,2021-08-10 18:35:00,0,0,0
2021-08-10,A320,Airbus A320-232,BIKF,1,WRO,2021-08-10 18:05:00,0,0,0
2021-08-10,A21N,Airbus A321-271NX,BIKF,1,VIE,2021-08-10 17:10:00,0,0,0
2021-08-10,A320,Airbus A320-232,BIKF,1,BUD,2021-08-10 16:20:00,0,0,0
2021-08-10,B753,Boeing 757-308,BIKF,1,MUC,2021-08-10 16:00:00,0,0,0
2021-08-10,B752,Boeing 757-256,BIKF,1,ZRH,2021-08-10 15:55:00,0,0,0
2021-08-10,B38M,Boeing 737 MAX 8,BIKF,1,BER,2021-08-10 15:50:00,0,0,0
2021-08-10,B38M,Boeing 737 MAX 8,BIKF,1,HEL,2021-08-10 15:45:00,0,0,0
2021-08-10,B752,Boeing 757-208,BIKF,1,CDG,2021-08-10 15:40:00,0,0,0
2021-08-10,B752,Boeing 757-208,BIKF,1,CDG,2021-08-10 15:40:00,0,0,0
2021-08-10,B763,Boeing 767-319(ER),BIKF,1,FRA,2021-08-10 15:40:00,0,0,0
