today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time
2021-08-14,B763,Boeing 767-324(ER),PGUA,1,FAI,2021-08-14 21:48:00,0,0,0
2021-08-14,B763,Boeing 767-375(ER),PGUA,1,EDF,2021-08-14 08:45:00,0,0,0
2021-08-14,A320,Airbus A320-232,BIKF,1,RIX,2021-08-15 20:33:48,0,0,0
2021-08-14,B752,Boeing 757-208,BIKF,1,CPH,2021-08-14 23:50:00,0,0,0
2021-08-14,32Q,,BIKF,1,WAW,2021-08-14 23:20:00,0,0,0
2021-08-14,B744,Boeing 747-45E(BDSF),BIKF,1,SZL,2021-08-14 23:17:00,0,0,0
2021-08-14,A21N,Airbus A321-251N,BIKF,1,TFS,2021-08-14 22:40:00,0,0,0
2021-08-14,321,,BIKF,1,LTN,2021-08-14 21:10:00,0,0,0
2021-08-14,B38M,Boeing 737 MAX 8,BIKF,1,BOS,2021-08-14 20:50:00,0,0,0
2021-08-14,A320,Airbus A320-232,BIKF,1,GDN,2021-08-14 20:10:00,0,0,0
2021-08-14,B753,Boeing 757-3E7,BIKF,1,TFS,2021-08-14 20:10:00,0,0,0
2021-08-14,B738,Boeing 737-809,BIKF,1,AMS,2021-08-14 19:00:00,0,0,0
2021-08-14,A21N,Airbus A321-271NX,BIKF,1,MXP,2021-08-14 18:40:00,0,0,0
2021-08-14,A320,Airbus A320-232,BIKF,1,WRO,2021-08-14 18:05:00,0,0,0
2021-08-14,73F,,BIKF,1,YQM,2021-08-14 17:30:00,0,0,0
2021-08-14,A21N,Airbus A321-271NX,BIKF,1,VIE,2021-08-14 17:10:00,0,0,0
2021-08-14,A320,Airbus A320-214,BIKF,1,BCN,2021-08-14 16:25:00,0,0,0
2021-08-14,B763,Boeing 767-319(ER),BIKF,1,MUC,2021-08-14 16:00:00,0,0,0
2021-08-14,B752,Boeing 757-208,BIKF,1,ZRH,2021-08-14 15:55:00,0,0,0
2021-08-14,B752,Boeing 757-256,BIKF,1,GVA,2021-08-14 15:55:00,0,0,0
2021-08-14,B752,Boeing 757-23N,BIKF,1,BER,2021-08-14 15:50:00,0,0,0
2021-08-14,A320,Airbus A320-214,BIKF,1,ZRH,2021-08-14 15:45:00,0,0,0
2021-08-14,A320,Airbus A320-232,BIKF,1,BUD,2021-08-14 15:45:00,0,0,0
2021-08-14,B38M,Boeing 737 MAX 8,BIKF,1,HEL,2021-08-14 15:45:00,0,0,0
2021-08-14,B39M,Boeing 737 MAX 9,BIKF,1,CDG,2021-08-14 15:40:00,0,0,0
2021-08-14,B752,Boeing 757-256,BIKF,1,CDG,2021-08-14 15:40:00,0,0,0
2021-08-14,B752,Boeing 757-256,BIKF,1,FRA,2021-08-14 15:40:00,0,0,0
2021-08-14,B38M,Boeing 737 MAX 8,BIKF,1,CPH,2021-08-14 15:40:00,0,0,0
2021-08-14,B38M,Boeing 737 MAX 8,BIKF,1,AMS,2021-08-14 15:30:00,0,0,0
2021-08-14,B763,Boeing 767-319(ER),BIKF,1,AMS,2021-08-14 15:25:00,0,0,0
2021-08-14,B752,Boeing 757-256,BIKF,1,CPH,2021-08-14 15:25:00,0,0,0
2021-08-14,B763,Boeing 767-319(ER),BIKF,1,LHR,2021-08-14 15:20:00,0,0,0
2021-08-14,B38M,Boeing 737 MAX 8,BIKF,1,BRU,2021-08-14 15:15:00,0,0,0
2021-08-14,A320,Airbus A320-232,BIKF,1,DTM,2021-08-14 15:10:00,0,0,0
2021-08-14,B752,Boeing 757-208,BIKF,1,ARN,2021-08-14 15:10:00,0,0,0
2021-08-14,DH2,,BIKF,1,GOH,2021-08-14 15:05:00,0,0,0
2021-08-14,A321,Airbus A321-231,BIKF,1,FRA,2021-08-14 12:10:00,0,0,0
2021-08-14,A20N,Airbus A320-251N,BIKF,1,LHR,2021-08-14 09:10:00,0,0,0
2021-08-14,A319,Airbus A319-132,BIKF,1,DUS,2021-08-15 22:28:16,0,0,0
2021-08-14,A21N,Airbus A321-251N,BIKF,1,CPH,2021-08-15 22:36:48,0,0,0
2021-08-14,A21N,Airbus A321-271NX,BIKF,1,WAW,2021-08-15 23:49:20,0,0,0
2021-08-14,A20N,Airbus A320-271N,BIKF,1,FRA,2021-08-15 23:17:20,0,0,0
2021-08-14,B38M,Boeing 737 MAX 8,BIKF,1,LHR,2021-08-15 22:45:20,0,0,0
2021-08-14,A21N,Airbus A321-251N,BIKF,1,BER,2021-08-15 23:30:08,0,0,0
2021-08-14,A320,Airbus A320-214,BIKF,1,VIE,2021-08-16 00:02:08,0,0,0
2021-08-14,32Q,,BIKF,0,0,0,1,CPH,2021-08-15 15:48:00
2021-08-14,A21N,Airbus A321-251N,BIKF,0,0,0,1,BER,2021-08-15 15:17:00
2021-08-14,32Q,,BIKF,0,0,0,1,STN,2021-08-15 06:29:00
2021-08-14,32Q,,BIKF,0,0,0,1,CDG,2021-08-15 05:57:00
2021-08-14,321,,BIKF,0,0,0,1,LTN,2021-08-14 21:55:00
2021-08-14,A320,Airbus A320-232,BIKF,0,0,0,1,GDN,2021-08-14 20:50:00
2021-08-14,B738,Boeing 737-809,BIKF,0,0,0,1,AMS,2021-08-14 19:50:00
2021-08-14,A21N,Airbus A321-271NX,BIKF,0,0,0,1,MXP,2021-08-14 19:20:00
2021-08-14,73F,,BIKF,0,0,0,1,LGG,2021-08-14 19:00:00
2021-08-14,A320,Airbus A320-232,BIKF,0,0,0,1,WRO,2021-08-14 18:50:00
2021-08-14,A21N,Airbus A321-271NX,BIKF,0,0,0,1,VIE,2021-08-14 17:50:00
2021-08-14,B752,Boeing 757-256,BIKF,0,0,0,1,SEA,2021-08-14 17:50:00
2021-08-14,B763,Boeing 767-319(ER),BIKF,0,0,0,1,BOS,2021-08-14 17:15:00
2021-08-14,A320,Airbus A320-214,BIKF,0,0,0,1,BCN,2021-08-14 17:10:00
2021-08-14,B752,Boeing 757-256,BIKF,0,0,0,1,SEA,2021-08-14 17:05:00
2021-08-14,B39M,Boeing 737 MAX 9,BIKF,0,0,0,1,YYZ,2021-08-14 17:05:00
2021-08-14,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,EWR,2021-08-14 17:00:00
2021-08-14,B763,Boeing 767-319(ER),BIKF,0,0,0,1,JFK,2021-08-14 17:00:00
2021-08-14,B752,Boeing 757-256,BIKF,0,0,0,1,DEN,2021-08-14 16:55:00
2021-08-14,B752,Boeing 757-208,BIKF,0,0,0,1,PDX,2021-08-14 16:50:00
