today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time
2021-08-22,B763,,PGUA,1,HNL,2021-08-22 16:28:03,0,0,0
2021-08-22,B744,Boeing 747-47U(F),PGUA,0,0,0,1,ICN,2021-08-22 12:30:00
2021-08-22,B763,,PGUA,0,0,0,1,COS,2021-08-23 23:25:00
2021-08-22,B735,Boeing 737-5L9,KDMA,1,OMA,2021-08-22 21:53:00,0,0,0
2021-08-22,B735,,KDMA,0,0,0,1,TUS,2021-08-22 22:18:00
2021-08-22,A21N,Airbus A321-251N,BIKF,1,BER,2021-08-22 23:55:00,0,0,0
2021-08-22,B753,Boeing 757-308,BIKF,1,CDG,2021-08-22 23:55:00,0,0,0
2021-08-22,B752,Boeing 757-208,BIKF,1,CPH,2021-08-22 23:50:00,0,0,0
2021-08-22,B752,Boeing 757-256,BIKF,1,AMS,2021-08-22 23:40:00,0,0,0
2021-08-22,B38M,Boeing 737 MAX 8,BIKF,1,LHR,2021-08-22 23:40:00,0,0,0
2021-08-22,A20N,Airbus A320-271N,BIKF,1,FRA,2021-08-22 23:35:00,0,0,0
2021-08-22,A320,Airbus A320-232,BIKF,1,WAW,2021-08-22 23:25:00,0,0,0
2021-08-22,A21N,Airbus A321-251N,BIKF,1,CPH,2021-08-22 22:55:00,0,0,0
2021-08-22,A319,Airbus A319-132,BIKF,1,DUS,2021-08-23 22:06:56,0,0,0
2021-08-22,IL76,Ilyushin IL-76TD-90VD,BIKF,1,YTR,2021-08-22 21:13:00,0,0,0
2021-08-22,A320,Airbus A320-232,BIKF,1,RIX,2021-08-22 20:10:00,0,0,0
2021-08-22,B763,Boeing 767-319(ER),BIKF,1,MUC,2021-08-22 16:00:00,0,0,0
2021-08-22,B752,Boeing 757-256,BIKF,1,ZRH,2021-08-22 15:55:00,0,0,0
2021-08-22,B753,Boeing 757-3E7,BIKF,1,BER,2021-08-22 15:50:00,0,0,0
2021-08-22,B752,Boeing 757-256,BIKF,1,CDG,2021-08-22 15:40:00,0,0,0
2021-08-22,B763,Boeing 767-319(ER),BIKF,1,FRA,2021-08-22 15:40:00,0,0,0
2021-08-22,B38M,Boeing 737 MAX 8,BIKF,1,CPH,2021-08-22 15:40:00,0,0,0
