today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time
2021-08-08,B772,,PGUA,0,0,0,1,HNL,2021-08-10 00:11:00
2021-08-08,CNJ,,DNA,0,0,0,1,TEX,2021-08-08 13:24:00
2021-08-08,A21N,Airbus A321-271NX,BIKF,1,FCO,2021-08-09 20:38:00,0,0,0
2021-08-08,A21N,Airbus A321-251N,BIKF,1,BER,2021-08-08 23:55:00,0,0,0
2021-08-08,B38M,Boeing 737 MAX 8,BIKF,1,CDG,2021-08-08 23:55:00,0,0,0
2021-08-08,B753,Boeing 757-308,BIKF,1,CPH,2021-08-08 23:50:00,0,0,0
2021-08-08,B39M,Boeing 737 MAX 9,BIKF,1,AMS,2021-08-08 23:40:00,0,0,0
2021-08-08,B752,Boeing 757-208,BIKF,1,LHR,2021-08-08 23:40:00,0,0,0
2021-08-08,A20N,Airbus A320-271N,BIKF,1,FRA,2021-08-08 23:30:00,0,0,0
2021-08-08,A21N,Airbus A321-271NX,BIKF,1,WAW,2021-08-08 23:25:00,0,0,0
2021-08-08,A21N,Airbus A321-251N,BIKF,1,CPH,2021-08-08 22:55:00,0,0,0
2021-08-08,A319,Airbus A319-132,BIKF,1,DUS,2021-08-08 22:35:00,0,0,0
2021-08-08,A320,Airbus A320-232,BIKF,1,RIX,2021-08-08 20:10:00,0,0,0
2021-08-08,B753,Boeing 757-308,BIKF,1,MUC,2021-08-08 16:00:00,0,0,0
2021-08-08,B752,Boeing 757-208,BIKF,1,ZRH,2021-08-08 15:55:00,0,0,0
2021-08-08,B752,Boeing 757-256,BIKF,1,BER,2021-08-08 15:50:00,0,0,0
2021-08-08,B753,Boeing 757-3E7,BIKF,1,CDG,2021-08-08 15:40:00,0,0,0
2021-08-08,B763,Boeing 767-319(ER),BIKF,1,FRA,2021-08-08 15:40:00,0,0,0
2021-08-08,B38M,Boeing 737 MAX 8,BIKF,1,CPH,2021-08-08 15:40:00,0,0,0
2021-08-08,B38M,Boeing 737 MAX 8,BIKF,1,AMS,2021-08-08 15:30:00,0,0,0
2021-08-08,B38M,Boeing 737 MAX 8,BIKF,1,HAM,2021-08-08 15:25:00,0,0,0
2021-08-08,B752,Boeing 757-256,BIKF,1,AMS,2021-08-08 15:25:00,0,0,0
2021-08-08,B752,Boeing 757-208,BIKF,1,CPH,2021-08-08 15:25:00,0,0,0
2021-08-08,B763,Boeing 767-319(ER),BIKF,1,LHR,2021-08-08 15:20:00,0,0,0
2021-08-08,B38M,Boeing 737 MAX 8,BIKF,1,BRU,2021-08-08 15:15:00,0,0,0
2021-08-08,B763,Boeing 767-319(ER),BIKF,1,ARN,2021-08-08 15:10:00,0,0,0
2021-08-08,A320,Airbus A320-214,BIKF,1,EDI,2021-08-08 14:45:00,0,0,0
2021-08-08,B752,Boeing 757-256,BIKF,1,OSL,2021-08-08 14:45:00,0,0,0
2021-08-08,BCS3,Airbus A220-300,BIKF,1,RIX,2021-08-08 14:25:00,0,0,0
2021-08-08,A21N,Airbus A321-251N,BIKF,1,CDG,2021-08-08 14:05:00,0,0,0
2021-08-08,A21N,Airbus A321-251N,BIKF,1,STN,2021-08-08 13:50:00,0,0,0
2021-08-08,B738,Boeing 737-86N,BIKF,1,OSL,2021-08-08 12:05:00,0,0,0
2021-08-08,320,,BIKF,1,ZRH,2021-08-08 11:20:00,0,0,0
2021-08-08,A319,Airbus A319-132,BIKF,1,CPH,2021-08-08 09:15:00,0,0,0
2021-08-08,B738,Boeing 737-8JP,BIKF,1,OSL,2021-08-08 09:15:00,0,0,0
2021-08-08,A320,Airbus A320-214,BIKF,1,LTN,2021-08-08 08:55:00,0,0,0
2021-08-08,A319,Airbus A319-111,BIKF,1,MAN,2021-08-08 08:35:00,0,0,0
2021-08-08,B38M,Boeing 737 MAX 8,BIKF,1,BOS,2021-08-09 20:43:01,0,0,0
2021-08-08,A21N,Airbus A321-251N,BIKF,1,CPH,2021-08-09 22:32:32,0,0,0
2021-08-08,B752,Boeing 757-256,BIKF,1,MXP,2021-08-09 23:08:48,0,0,0
2021-08-08,A20N,Airbus A320-271N,BIKF,1,FRA,2021-08-09 23:28:00,0,0,0
2021-08-08,A21N,Airbus A321-251N,BIKF,1,BER,2021-08-09 23:30:08,0,0,0
2021-08-08,32Q,,BIKF,0,0,0,1,FCO,2021-08-09 21:01:00
2021-08-08,32Q,,BIKF,0,0,0,1,CPH,2021-08-09 15:12:00
2021-08-08,A21N,Airbus A321-251N,BIKF,0,0,0,1,BER,2021-08-09 15:11:00
2021-08-08,32Q,,BIKF,0,0,0,1,BCN,2021-08-09 15:18:00
2021-08-08,32Q,,BIKF,0,0,0,1,STN,2021-08-09 06:13:00
2021-08-08,32Q,,BIKF,0,0,0,1,CDG,2021-08-09 05:52:00
2021-08-08,A320,Airbus A320-232,BIKF,0,0,0,1,RIX,2021-08-08 20:50:00
2021-08-08,B763,Boeing 767-319(ER),BIKF,0,0,0,1,BOS,2021-08-08 17:15:00
2021-08-08,B752,Boeing 757-256,BIKF,0,0,0,1,SEA,2021-08-08 17:05:00
2021-08-08,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,YYZ,2021-08-08 17:05:00
2021-08-08,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,EWR,2021-08-08 17:00:00
2021-08-08,B763,Boeing 767-319(ER),BIKF,0,0,0,1,JFK,2021-08-08 17:00:00
2021-08-08,B752,Boeing 757-208,BIKF,0,0,0,1,DEN,2021-08-08 16:55:00
2021-08-08,B763,Boeing 767-319(ER),BIKF,0,0,0,1,IAD,2021-08-08 16:50:00
2021-08-08,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,ORD,2021-08-08 16:45:00
2021-08-08,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,MSP,2021-08-08 16:45:00
2021-08-08,B752,Boeing 757-208,BIKF,0,0,0,1,LHR,2021-08-08 16:10:00
2021-08-08,B753,Boeing 757-308,BIKF,0,0,0,1,CPH,2021-08-08 16:10:00
2021-08-08,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,CDG,2021-08-08 16:00:00
2021-08-08,B39M,Boeing 737 MAX 9,BIKF,0,0,0,1,AMS,2021-08-08 16:00:00
2021-08-08,B752,Boeing 757-256,BIKF,0,0,0,1,FRA,2021-08-08 15:55:00
2021-08-08,A320,Airbus A320-214,BIKF,0,0,0,1,EDI,2021-08-08 15:25:00
2021-08-08,A21N,Airbus A321-251N,BIKF,0,0,0,1,BER,2021-08-08 15:02:00
2021-08-08,32Q,,BIKF,0,0,0,1,CPH,2021-08-08 15:07:00
2021-08-08,BCS3,Airbus A220-300,BIKF,0,0,0,1,RIX,2021-08-08 15:10:00
