today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time
2021-08-01,B763,Boeing 767-38E(ER),PGUA,0,0,0,1,FAI,2021-08-01 09:25:00
2021-08-01,B744,,PGUA,0,0,0,1,HNL,2021-08-03 01:10:00
2021-08-01,A21N,Airbus A321-251N,BIKF,1,BER,2021-08-01 23:55:00,0,0,0
2021-08-01,B752,Boeing 757-208,BIKF,1,CDG,2021-08-01 23:55:00,0,0,0
2021-08-01,B763,Boeing 767-319(ER),BIKF,1,CPH,2021-08-01 23:50:00,0,0,0
2021-08-01,B38M,Boeing 737 MAX 8,BIKF,1,AMS,2021-08-01 23:40:00,0,0,0
2021-08-01,B38M,Boeing 737 MAX 8,BIKF,1,LHR,2021-08-01 23:40:00,0,0,0
2021-08-01,A20N,Airbus A320-271N,BIKF,1,FRA,2021-08-01 23:30:00,0,0,0
2021-08-01,A21N,Airbus A321-271NX,BIKF,1,WAW,2021-08-01 23:30:00,0,0,0
2021-08-01,A21N,Airbus A321-251N,BIKF,1,CPH,2021-08-01 22:55:00,0,0,0
2021-08-01,A319,Airbus A319-132,BIKF,1,DUS,2021-08-01 22:35:00,0,0,0
2021-08-01,A320,Airbus A320-232,BIKF,1,RIX,2021-08-01 20:10:00,0,0,0
2021-08-01,B753,Boeing 757-308,BIKF,1,MUC,2021-08-01 16:00:00,0,0,0
2021-08-01,B752,Boeing 757-23N,BIKF,1,ZRH,2021-08-01 15:55:00,0,0,0
2021-08-01,B753,Boeing 757-3E7,BIKF,1,BER,2021-08-01 15:50:00,0,0,0
2021-08-01,B39M,Boeing 737 MAX 9,BIKF,1,CDG,2021-08-01 15:40:00,0,0,0
2021-08-01,B763,Boeing 767-319(ER),BIKF,1,FRA,2021-08-01 15:40:00,0,0,0
2021-08-01,B752,Boeing 757-256,BIKF,1,CPH,2021-08-01 15:40:00,0,0,0
2021-08-01,B38M,Boeing 737 MAX 8,BIKF,1,HAM,2021-08-01 15:25:00,0,0,0
2021-08-01,B763,Boeing 767-319(ER),BIKF,1,AMS,2021-08-01 15:25:00,0,0,0
2021-08-01,B752,Boeing 757-208,BIKF,1,CPH,2021-08-01 15:25:00,0,0,0
2021-08-01,B763,Boeing 767-319(ER),BIKF,1,LHR,2021-08-01 15:20:00,0,0,0
2021-08-01,B38M,Boeing 737 MAX 8,BIKF,1,BRU,2021-08-01 15:15:00,0,0,0
2021-08-01,B763,Boeing 767-319(ER),BIKF,1,ARN,2021-08-01 15:10:00,0,0,0
2021-08-01,A320,Airbus A320-214,BIKF,1,EDI,2021-08-01 14:45:00,0,0,0
2021-08-01,B752,Boeing 757-256,BIKF,1,OSL,2021-08-01 14:45:00,0,0,0
2021-08-01,BCS3,Airbus A220-300,BIKF,1,RIX,2021-08-01 14:25:00,0,0,0
2021-08-01,A21N,Airbus A321-251N,BIKF,1,CDG,2021-08-01 14:05:00,0,0,0
2021-08-01,A21N,Airbus A321-251N,BIKF,1,STN,2021-08-01 13:50:00,0,0,0
2021-08-01,B738,Boeing 737-883,BIKF,1,OSL,2021-08-01 12:05:00,0,0,0
2021-08-01,A319,Airbus A319-131,BIKF,1,CPH,2021-08-01 09:15:00,0,0,0
