today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time
2021-08-03,B744,Boeing 747-412(BCF),DNA,1,ANC,2021-08-05 02:54:46,0,0,0
2021-08-03,SF34,Saab 340B,BIKF,1,YYR,2021-08-04 14:50:58,0,0,0
2021-08-03,B752,Boeing 757-208,BIKF,1,CPH,2021-08-03 23:50:00,0,0,0
2021-08-03,A21N,Airbus A321-271NX,BIKF,1,WAW,2021-08-03 23:20:00,0,0,0
2021-08-03,A21N,Airbus A321-251N,BIKF,1,TFS,2021-08-03 22:40:00,0,0,0
2021-08-03,321,,BIKF,1,LTN,2021-08-03 21:10:00,0,0,0
2021-08-03,A21N,Airbus A321-251N,BIKF,1,ALC,2021-08-03 20:45:00,0,0,0
2021-08-03,737,,BIKF,1,AGP,2021-08-03 18:50:00,0,0,0
2021-08-03,A21N,Airbus A321-271NX,BIKF,1,MXP,2021-08-03 18:35:00,0,0,0
2021-08-03,A320,Airbus A320-232,BIKF,1,WRO,2021-08-03 18:05:00,0,0,0
2021-08-03,A21N,Airbus A321-271NX,BIKF,1,VIE,2021-08-03 17:10:00,0,0,0
2021-08-03,B753,Boeing 757-3E7,BIKF,1,MUC,2021-08-03 16:00:00,0,0,0
2021-08-03,B752,Boeing 757-208,BIKF,1,ZRH,2021-08-03 15:55:00,0,0,0
2021-08-03,B39M,Boeing 737 MAX 9,BIKF,1,BER,2021-08-03 15:50:00,0,0,0
2021-08-03,A320,Airbus A320-232,BIKF,1,BUD,2021-08-03 15:45:00,0,0,0
2021-08-03,B38M,Boeing 737 MAX 8,BIKF,1,HEL,2021-08-03 15:45:00,0,0,0
2021-08-03,B752,Boeing 757-256,BIKF,1,CDG,2021-08-03 15:40:00,0,0,0
2021-08-03,B752,Boeing 757-256,BIKF,1,CDG,2021-08-03 15:40:00,0,0,0
2021-08-03,B763,Boeing 767-319(ER),BIKF,1,FRA,2021-08-03 15:40:00,0,0,0
2021-08-03,B38M,Boeing 737 MAX 8,BIKF,1,CPH,2021-08-03 15:40:00,0,0,0
2021-08-03,B38M,Boeing 737 MAX 8,BIKF,1,AMS,2021-08-03 15:30:00,0,0,0
