today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time
2021-08-25,B744,Boeing 747-45E(BDSF),PGUA,0,0,0,1,HNL,2021-08-25 10:25:00
2021-08-25,B762,,PGUA,0,0,0,1,ANC,2021-08-26 23:40:00
2021-08-25,B763,,DNA,1,ANC,2021-08-25 15:47:59,0,0,0
2021-08-25,B744,Boeing 747-45E(BDSF),DNA,1,EDF,2021-08-26 20:48:36,0,0,0
2021-08-25,C68A,Cessna 680A Citation Latitude,DNA,0,0,0,1,JAC,2021-08-25 13:21:00
2021-08-25,B38M,Boeing 737 MAX 8,BIKF,1,CPH,2021-08-25 23:50:00,0,0,0
2021-08-25,A20N,Airbus A320-271N,BIKF,1,FRA,2021-08-25 23:30:00,0,0,0
2021-08-25,B752,Boeing 757-256,BIKF,1,MXP,2021-08-25 23:30:00,0,0,0
2021-08-25,A320,Airbus A320-232,BIKF,1,WAW,2021-08-25 23:25:00,0,0,0
2021-08-25,B738,Boeing 737-86N,BIKF,1,TFS,2021-08-25 20:30:00,0,0,0
2021-08-25,B752,Boeing 757-256,BIKF,1,TFS,2021-08-25 20:30:00,0,0,0
2021-08-25,A321,Airbus A321-231,BIKF,1,KTW,2021-08-25 19:45:00,0,0,0
2021-08-25,B752,Boeing 757-208(PCF),BIKF,1,BOS,2021-08-25 19:33:34,0,0,0
2021-08-25,B738,Boeing 737-8K2,BIKF,1,AMS,2021-08-25 19:00:00,0,0,0
2021-08-25,A20N,Airbus A320-271N,BIKF,1,FCO,2021-08-25 18:40:00,0,0,0
2021-08-25,None,None,BIKF,1,YFB,2021-08-25 17:41:36,0,0,0
2021-08-25,A320,Airbus A320-232,BIKF,1,BCN,2021-08-25 16:25:00,0,0,0
2021-08-25,B752,Boeing 757-256,BIKF,1,MUC,2021-08-25 16:00:00,0,0,0
2021-08-25,B38M,Boeing 737 MAX 8,BIKF,1,ZRH,2021-08-25 15:55:00,0,0,0
2021-08-25,B38M,Boeing 737 MAX 8,BIKF,1,BER,2021-08-25 15:50:00,0,0,0
2021-08-25,B763,Boeing 767-319(ER),BIKF,1,FRA,2021-08-25 15:40:00,0,0,0
2021-08-25,B38M,Boeing 737 MAX 8,BIKF,1,CDG,2021-08-25 15:40:00,0,0,0
2021-08-25,B753,Boeing 757-3E7,BIKF,1,CDG,2021-08-25 15:40:00,0,0,0
2021-08-25,B752,Boeing 757-208,BIKF,1,CPH,2021-08-25 15:40:00,0,0,0
2021-08-25,B763,Boeing 767-319(ER),BIKF,1,AMS,2021-08-25 15:25:00,0,0,0
2021-08-25,B752,Boeing 757-256,BIKF,1,CPH,2021-08-25 15:25:00,0,0,0
2021-08-25,B763,Boeing 767-319(ER),BIKF,1,LHR,2021-08-25 15:20:00,0,0,0
2021-08-25,B38M,Boeing 737 MAX 8,BIKF,1,BRU,2021-08-25 15:15:00,0,0,0
2021-08-25,B752,Boeing 757-256,BIKF,1,ARN,2021-08-25 15:10:00,0,0,0
2021-08-25,A320,Airbus A320-214,BIKF,1,ZRH,2021-08-25 15:05:00,0,0,0
2021-08-25,B752,Boeing 757-23N,BIKF,1,OSL,2021-08-25 14:45:00,0,0,0
2021-08-25,A20N,Airbus A320-251N,BIKF,1,CPH,2021-08-25 09:45:00,0,0,0
2021-08-25,B38M,Boeing 737 MAX 8,BIKF,1,BOS,2021-08-26 20:32:17,0,0,0
2021-08-25,A319,Airbus A319-132,BIKF,1,DUS,2021-08-26 22:26:08,0,0,0
2021-08-25,A320,Airbus A320-232,BIKF,1,WAW,2021-08-26 23:02:24,0,0,0
2021-08-25,A21N,Airbus A321-251N,BIKF,1,BER,2021-08-26 23:28:59,0,0,0
2021-08-25,A20N,Airbus A320-271N,BIKF,1,MUC,2021-08-26 23:53:36,0,0,0
2021-08-25,A21N,Airbus A321-271NX,BIKF,0,0,0,1,MXP,2021-08-26 19:50:00
2021-08-25,32Q,,BIKF,0,0,0,1,CPH,2021-08-26 06:23:00
2021-08-25,32Q,,BIKF,0,0,0,1,STN,2021-08-26 06:22:00
2021-08-25,32Q,,BIKF,0,0,0,1,CDG,2021-08-26 05:53:00
2021-08-25,A321,Airbus A321-231,BIKF,0,0,0,1,KTW,2021-08-25 20:30:00
2021-08-25,B738,Boeing 737-8K2,BIKF,0,0,0,1,AMS,2021-08-25 19:50:00
2021-08-25,A20N,Airbus A320-271N,BIKF,0,0,0,1,FCO,2021-08-25 19:20:00
2021-08-25,B763,Boeing 767-319(ER),BIKF,0,0,0,1,BOS,2021-08-25 17:15:00
2021-08-25,A320,Airbus A320-232,BIKF,0,0,0,1,BCN,2021-08-25 17:10:00
2021-08-25,B752,Boeing 757-23N,BIKF,0,0,0,1,SEA,2021-08-25 17:05:00
2021-08-25,B39M,Boeing 737 MAX 9,BIKF,0,0,0,1,YYZ,2021-08-25 17:05:00
2021-08-25,B763,Boeing 767-319(ER),BIKF,0,0,0,1,JFK,2021-08-25 17:00:00
2021-08-25,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,EWR,2021-08-25 17:00:00
2021-08-25,B752,Boeing 757-256,BIKF,0,0,0,1,DEN,2021-08-25 16:55:00
2021-08-25,B753,Boeing 757-3E7,BIKF,0,0,0,1,IAD,2021-08-25 16:50:00
2021-08-25,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,ORD,2021-08-25 16:45:00
2021-08-25,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,MSP,2021-08-25 16:45:00
2021-08-25,B734,Boeing 737-4B3(SF),BIKF,0,0,0,1,DUB,2021-08-25 16:30:00
2021-08-25,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,CPH,2021-08-25 16:10:00
2021-08-25,A320,Airbus A320-214,BIKF,0,0,0,1,ZRH,2021-08-25 15:50:00
2021-08-25,B752,Boeing 757-256,BIKF,0,0,0,1,MXP,2021-08-25 14:00:00
2021-08-25,B752,Boeing 757-224,BIKF,0,0,0,1,EWR,2021-08-25 11:20:00
2021-08-25,B763,Boeing 767-332(ER),BIKF,0,0,0,1,JFK,2021-08-25 11:15:00
2021-08-25,B752,Boeing 757-224,BIKF,0,0,0,1,ORD,2021-08-25 10:30:00
2021-08-25,A20N,Airbus A320-251N,BIKF,0,0,0,1,CPH,2021-08-25 10:30:00
2021-08-25,B752,Boeing 757-26D,BIKF,0,0,0,1,BOS,2021-08-25 10:05:00
2021-08-25,B752,Boeing 757-26D,BIKF,0,0,0,1,MSP,2021-08-25 09:30:00
2021-08-25,B752,Boeing 757-256,BIKF,0,0,0,1,TFS,2021-08-25 08:40:00
2021-08-25,A319,Airbus A319-132,BIKF,0,0,0,1,DUS,2021-08-27 00:30:00
2021-08-25,320,,BIKF,0,0,0,1,LTN,2021-08-27 09:15:00
2021-08-25,B752,Boeing 757-26D,BIKF,0,0,0,1,MSP,2021-08-27 09:40:00
2021-08-25,B752,Boeing 757-26D,BIKF,0,0,0,1,BOS,2021-08-27 10:15:00
2021-08-25,B752,Boeing 757-224,BIKF,0,0,0,1,ORD,2021-08-27 10:49:00
2021-08-25,B763,Boeing 767-332(ER),BIKF,0,0,0,1,JFK,2021-08-27 11:25:00
2021-08-25,B752,Boeing 757-224,BIKF,0,0,0,1,EWR,2021-08-27 11:20:00
2021-08-25,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,MSP,2021-08-27 16:55:00
2021-08-25,B39M,Boeing 737 MAX 9,BIKF,0,0,0,1,ORD,2021-08-27 16:55:00
2021-08-25,B763,Boeing 767-319(ER),BIKF,0,0,0,1,IAD,2021-08-27 17:00:00
2021-08-25,B752,Boeing 757-256,BIKF,0,0,0,1,DEN,2021-08-27 17:05:00
2021-08-25,B763,Boeing 767-319(ER),BIKF,0,0,0,1,JFK,2021-08-27 17:10:00
2021-08-25,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,EWR,2021-08-27 17:10:00
2021-08-25,B752,Boeing 757-23N,BIKF,0,0,0,1,SEA,2021-08-27 17:15:00
2021-08-25,B763,Boeing 767-319(ER),BIKF,0,0,0,1,BOS,2021-08-27 17:25:00
2021-08-25,B752,Boeing 757-208,BIKF,0,0,0,1,MCO,2021-08-27 17:25:00
2021-08-25,B738,Boeing 737-86N,KUV,0,0,0,1,CJU,2021-08-25 09:00:00
2021-08-25,738,,KUV,0,0,0,1,CJU,2021-08-27 01:10:00
2021-08-25,737,,KUV,0,0,0,1,CJU,2021-08-27 02:10:00
2021-08-25,738,,KUV,0,0,0,1,CJU,2021-08-27 08:00:00
2021-08-25,COL3,Lancair Columbia 300,KLFI,1,PHF,2021-08-25 15:07:59,0,0,0
2021-08-25,COL3,,KLFI,0,0,0,1,PHF,2021-08-25 13:38:00
2021-08-25,737,,FRU,1,LED,2021-08-25 23:50:00,0,0,0
2021-08-25,B738,Boeing 737-83N,FRU,1,PEE,2021-08-25 23:35:00,0,0,0
2021-08-25,A21N,Airbus A321-271NX,FRU,1,IST,2021-08-25 23:25:00,0,0,0
2021-08-25,A320,Airbus A320-214,FRU,1,KWI,2021-08-25 23:20:00,0,0,0
2021-08-25,B738,Boeing 737-8KN,FRU,1,DXB,2021-08-25 22:40:00,0,0,0
2021-08-25,73F,,FRU,1,URC,2021-08-25 22:30:00,0,0,0
2021-08-25,737,,FRU,1,DME,2021-08-25 21:30:00,0,0,0
2021-08-25,73F,,FRU,1,SJW,2021-08-25 21:25:00,0,0,0
2021-08-25,A321,Airbus A321-211,FRU,1,SVO,2021-08-25 21:20:00,0,0,0
2021-08-25,A21N,Airbus A321-271NX,FRU,1,IST,2021-08-25 21:05:00,0,0,0
2021-08-25,A20N,Airbus A320-251N,FRU,1,AYT,2021-08-25 21:00:00,0,0,0
2021-08-25,RJ85,Avro RJ85,FRU,1,OSS,2021-08-25 13:00:00,0,0,0
2021-08-25,A321,Airbus A321-231,FRU,1,ALA,2021-08-25 12:35:00,0,0,0
2021-08-25,32S,,FRU,1,SVX,2021-08-25 12:25:00,0,0,0
2021-08-25,RJ85,Avro RJ85,FRU,1,OSS,2021-08-25 12:05:00,0,0,0
2021-08-25,A320,Airbus A320-231,FRU,1,DME,2021-08-25 11:55:00,0,0,0
2021-08-25,737,,FRU,1,GRV,2021-08-25 11:00:00,0,0,0
2021-08-25,A332,Airbus A330-243F,FRU,1,ISL,2021-08-25 10:30:00,0,0,0
2021-08-25,A320,Airbus A320-214,FRU,1,SHJ,2021-08-25 10:25:00,0,0,0
2021-08-25,737,,FRU,1,OVB,2021-08-25 09:40:00,0,0,0
2021-08-25,RJ85,Avro RJ85,FRU,1,OSS,2021-08-25 09:20:00,0,0,0
2021-08-25,B77W,Boeing 777-300(ER),FRU,1,SVO,2021-08-25 09:15:00,0,0,0
2021-08-25,31Y,,FRU,1,IST,2021-08-25 08:55:00,0,0,0
2021-08-25,73F,,FRU,1,SJW,2021-08-25 08:55:00,0,0,0
2021-08-25,31Y,,FRU,1,IST,2021-08-25 08:55:00,0,0,0
2021-08-25,A319,Airbus A319-112,FRU,1,SVX,2021-08-26 22:24:00,0,0,0
