today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time
2021-08-07,G280,,PGUA,0,0,0,1,MNL,2021-08-07 22:00:00
2021-08-07,B772,,PGUA,0,0,0,1,HNL,2021-08-08 21:55:00
2021-08-07,B752,Boeing 757-256,BIKF,1,CPH,2021-08-07 23:50:00,0,0,0
2021-08-07,B38M,Boeing 737 MAX 8,BIKF,1,MAD,2021-08-07 23:20:00,0,0,0
2021-08-07,A21N,Airbus A321-271NX,BIKF,1,WAW,2021-08-07 23:20:00,0,0,0
2021-08-07,A21N,Airbus A321-251N,BIKF,1,TFS,2021-08-07 22:40:00,0,0,0
2021-08-07,321,,BIKF,1,LTN,2021-08-07 21:10:00,0,0,0
2021-08-07,B38M,Boeing 737 MAX 8,BIKF,1,BOS,2021-08-07 20:50:00,0,0,0
2021-08-07,B763,Boeing 767-319(ER),BIKF,1,TFS,2021-08-07 20:30:00,0,0,0
2021-08-07,A320,Airbus A320-232,BIKF,1,GDN,2021-08-07 20:10:00,0,0,0
2021-08-07,B738,Boeing 737-8K2,BIKF,1,AMS,2021-08-07 19:00:00,0,0,0
2021-08-07,A21N,Airbus A321-271NX,BIKF,1,MXP,2021-08-07 18:40:00,0,0,0
2021-08-07,A321,Airbus A321-211(P2F),BIKF,1,YHZ,2021-08-07 18:19:00,0,0,0
2021-08-07,A320,Airbus A320-232,BIKF,1,WRO,2021-08-07 18:05:00,0,0,0
2021-08-07,B734,Boeing 737-4B3(SF),BIKF,1,YQM,2021-08-07 17:30:00,0,0,0
2021-08-07,A21N,Airbus A321-271NX,BIKF,1,VIE,2021-08-07 17:10:00,0,0,0
2021-08-07,A320,Airbus A320-214,BIKF,1,BCN,2021-08-07 16:25:00,0,0,0
2021-08-07,B752,Boeing 757-256,BIKF,1,MUC,2021-08-07 16:00:00,0,0,0
2021-08-07,B752,Boeing 757-23N,BIKF,1,ZRH,2021-08-07 15:55:00,0,0,0
2021-08-07,B752,Boeing 757-208,BIKF,1,GVA,2021-08-07 15:55:00,0,0,0
2021-08-07,B752,Boeing 757-208,BIKF,1,BER,2021-08-07 15:50:00,0,0,0
2021-08-07,A320,Airbus A320-214,BIKF,1,ZRH,2021-08-07 15:45:00,0,0,0
2021-08-07,A320,Airbus A320-232,BIKF,1,BUD,2021-08-07 15:45:00,0,0,0
2021-08-07,B38M,Boeing 737 MAX 8,BIKF,1,HEL,2021-08-07 15:45:00,0,0,0
2021-08-07,B752,Boeing 757-256,BIKF,1,CDG,2021-08-07 15:40:00,0,0,0
2021-08-07,B38M,Boeing 737 MAX 8,BIKF,1,CDG,2021-08-07 15:40:00,0,0,0
2021-08-07,B763,Boeing 767-319(ER),BIKF,1,FRA,2021-08-07 15:40:00,0,0,0
2021-08-07,B752,Boeing 757-208,BIKF,1,CPH,2021-08-07 15:40:00,0,0,0
2021-08-07,B39M,Boeing 737 MAX 9,BIKF,1,AMS,2021-08-07 15:30:00,0,0,0
2021-08-07,B763,Boeing 767-319(ER),BIKF,1,AMS,2021-08-07 15:25:00,0,0,0
2021-08-07,B752,Boeing 757-256,BIKF,1,CPH,2021-08-07 15:25:00,0,0,0
2021-08-07,B753,Boeing 757-308,BIKF,1,LHR,2021-08-07 15:20:00,0,0,0
2021-08-07,B38M,Boeing 737 MAX 8,BIKF,1,BRU,2021-08-07 15:15:00,0,0,0
2021-08-07,A320,Airbus A320-232,BIKF,1,DTM,2021-08-07 15:10:00,0,0,0
2021-08-07,B753,Boeing 757-3E7,BIKF,1,ARN,2021-08-07 15:10:00,0,0,0
2021-08-07,DH8B,De Havilland Canada Dash 8-200,BIKF,1,GOH,2021-08-07 15:05:00,0,0,0
2021-08-07,CL60,Bombardier Challenger 604,BIKF,1,BMA,2021-08-07 12:43:00,0,0,0
2021-08-07,A20N,Airbus A320-271N,BIKF,1,FRA,2021-08-07 12:10:00,0,0,0
2021-08-07,A20N,Airbus A320-251N,BIKF,1,LHR,2021-08-07 09:10:00,0,0,0
2021-08-07,A319,Airbus A319-132,BIKF,1,DUS,2021-08-08 22:09:04,0,0,0
2021-08-07,A21N,Airbus A321-251N,BIKF,1,CPH,2021-08-08 22:24:00,0,0,0
2021-08-07,A20N,Airbus A320-271N,BIKF,1,FRA,2021-08-08 23:30:08,0,0,0
2021-08-07,B752,Boeing 757-208,BIKF,1,LHR,2021-08-08 22:58:08,0,0,0
2021-08-07,B39M,Boeing 737 MAX 9,BIKF,1,AMS,2021-08-08 23:06:40,0,0,0
2021-08-07,B752,Boeing 757-256,BIKF,1,FRA,2021-08-08 23:32:16,0,0,0
2021-08-07,A320,Airbus A320-214,BIKF,1,VIE,2021-08-09 00:17:04,0,0,0
2021-08-07,A21N,Airbus A321-251N,BIKF,0,0,0,1,BER,2021-08-08 15:02:00
2021-08-07,32Q,,BIKF,0,0,0,1,CPH,2021-08-08 15:07:00
2021-08-07,32Q,,BIKF,0,0,0,1,STN,2021-08-08 06:27:00
2021-08-07,32Q,,BIKF,0,0,0,1,CDG,2021-08-08 05:56:00
2021-08-07,321,,BIKF,0,0,0,1,LTN,2021-08-07 21:55:00
2021-08-07,A320,Airbus A320-232,BIKF,0,0,0,1,GDN,2021-08-07 20:50:00
2021-08-07,B738,Boeing 737-8K2,BIKF,0,0,0,1,AMS,2021-08-07 19:50:00
2021-08-07,A21N,Airbus A321-271NX,BIKF,0,0,0,1,MXP,2021-08-07 19:20:00
2021-08-07,B734,Boeing 737-4B3(SF),BIKF,0,0,0,1,LGG,2021-08-07 19:00:00
2021-08-07,A320,Airbus A320-232,BIKF,0,0,0,1,WRO,2021-08-07 18:50:00
2021-08-07,A21N,Airbus A321-271NX,BIKF,0,0,0,1,VIE,2021-08-07 17:50:00
2021-08-07,B752,Boeing 757-208,BIKF,0,0,0,1,SEA,2021-08-07 17:50:00
2021-08-07,B763,Boeing 767-319(ER),BIKF,0,0,0,1,BOS,2021-08-07 17:15:00
2021-08-07,A320,Airbus A320-214,BIKF,0,0,0,1,BCN,2021-08-07 17:10:00
2021-08-07,B752,Boeing 757-208,BIKF,0,0,0,1,SEA,2021-08-07 17:05:00
2021-08-07,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,YYZ,2021-08-07 17:05:00
2021-08-07,B763,Boeing 767-319(ER),BIKF,0,0,0,1,JFK,2021-08-07 17:00:00
2021-08-07,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,EWR,2021-08-07 17:00:00
2021-08-07,B752,Boeing 757-23N,BIKF,0,0,0,1,DEN,2021-08-07 16:55:00
2021-08-07,DH2,,BIKF,0,0,0,1,GOH,2021-08-07 16:55:00
2021-08-07,B752,Boeing 757-256,BIKF,0,0,0,1,PDX,2021-08-07 16:50:00
2021-08-07,B753,Boeing 757-3E7,BIKF,0,0,0,1,IAD,2021-08-07 16:50:00
2021-08-07,B39M,Boeing 737 MAX 9,BIKF,0,0,0,1,ORD,2021-08-07 16:45:00
2021-08-07,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,MSP,2021-08-07 16:45:00
2021-08-07,B753,Boeing 757-308,BIKF,0,0,0,1,MXP,2021-08-07 16:45:00
2021-08-07,B752,Boeing 757-256,BIKF,0,0,0,1,BCN,2021-08-07 16:45:00
2021-08-07,A320,Airbus A320-214,BIKF,0,0,0,1,ZRH,2021-08-07 16:30:00
2021-08-07,A320,Airbus A320-232,BIKF,0,0,0,1,BUD,2021-08-07 16:25:00
2021-08-07,B752,Boeing 757-256,BIKF,0,0,0,1,CPH,2021-08-07 16:25:00
2021-08-07,A320,Airbus A320-232,BIKF,0,0,0,1,DTM,2021-08-07 15:50:00
2021-08-07,32Q,,BIKF,0,0,0,1,ALC,2021-08-07 15:07:00
2021-08-07,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,MAD,2021-08-07 14:00:00
2021-08-07,CL60,Bombardier Challenger 604,BIKF,0,0,0,1,SUS,2021-08-07 13:45:00
2021-08-07,A20N,Airbus A320-271N,BIKF,0,0,0,1,FRA,2021-08-07 13:35:00
2021-08-07,B752,Boeing 757-224,BIKF,0,0,0,1,EWR,2021-08-07 11:20:00
2021-08-07,B763,Boeing 767-332(ER),BIKF,0,0,0,1,JFK,2021-08-07 11:15:00
2021-08-07,B752,Boeing 757-224,BIKF,0,0,0,1,ORD,2021-08-07 10:30:00
2021-08-07,32Q,,BIKF,0,0,0,1,TFS,2021-08-07 10:07:00
2021-08-07,A20N,Airbus A320-251N,BIKF,0,0,0,1,LHR,2021-08-07 10:10:00
2021-08-07,B752,Boeing 757-26D,BIKF,0,0,0,1,BOS,2021-08-07 10:05:00
2021-08-07,B752,Boeing 757-26D,BIKF,0,0,0,1,MSP,2021-08-07 09:30:00
2021-08-07,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,BOS,2021-08-07 09:20:00
2021-08-07,GL5T,Bombardier Global 5000,BIKF,0,0,0,1,LAS,2021-08-07 09:00:00
2021-08-07,B763,Boeing 767-319(ER),BIKF,0,0,0,1,TFS,2021-08-07 08:40:00
2021-08-07,320,,BIKF,0,0,0,1,RIX,2021-08-08 21:00:00
2021-08-07,32Q,,BIKF,0,0,0,1,WAW,2021-08-09 01:25:00
2021-08-07,A319,Airbus A319-132,BIKF,0,0,0,1,DUS,2021-08-09 00:30:00
2021-08-07,A319,Airbus A319-112,BIKF,0,0,0,1,PRG,2021-08-09 02:00:00
2021-08-07,320,,BIKF,0,0,0,1,LTN,2021-08-09 08:45:00
2021-08-07,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,BOS,2021-08-09 09:30:00
2021-08-07,B752,Boeing 757-26D,BIKF,0,0,0,1,MSP,2021-08-09 09:40:00
2021-08-07,B752,Boeing 757-26D,BIKF,0,0,0,1,BOS,2021-08-09 10:15:00
2021-08-07,B752,Boeing 757-224,BIKF,0,0,0,1,ORD,2021-08-09 10:49:00
2021-08-07,B763,Boeing 767-332(ER),BIKF,0,0,0,1,JFK,2021-08-09 11:15:00
2021-08-07,B752,Boeing 757-224,BIKF,0,0,0,1,EWR,2021-08-09 11:39:00
2021-08-07,B38M,Boeing 737 MAX 8,BIKF,0,0,0,1,ORD,2021-08-09 16:55:00
2021-08-07,B752,Boeing 757-256,BIKF,0,0,0,1,DEN,2021-08-09 17:05:00
2021-08-07,B738,Boeing 737-86Q,KUV,0,0,0,1,CJU,2021-08-07 09:00:00
2021-08-07,737,,KUV,0,0,0,1,CJU,2021-08-07 09:00:00
2021-08-07,738,,KUV,0,0,0,1,CJU,2021-08-09 01:10:00
2021-08-07,737,,KUV,0,0,0,1,CJU,2021-08-09 02:10:00
2021-08-07,738,,KUV,0,0,0,1,CJU,2021-08-09 08:00:00
2021-08-07,A332,Airbus A330-223,KLFI,1,LSV,2021-08-08 22:19:01,0,0,0
2021-08-07,A332,Airbus A330-243F,FRU,1,CAN,2021-08-08 05:55:09,0,0,0
2021-08-07,A321,Airbus A321-231,FRU,1,IST,2021-08-07 23:25:00,0,0,0
2021-08-07,737,,FRU,1,VOZ,2021-08-07 23:20:00,0,0,0
2021-08-07,A20N,Airbus A320-251N,FRU,1,KWI,2021-08-07 23:10:00,0,0,0
2021-08-07,A20N,Airbus A320-271N,FRU,1,IKT,2021-08-07 22:55:00,0,0,0
2021-08-07,B738,Boeing 737-8KN,FRU,1,DXB,2021-08-07 22:40:00,0,0,0
2021-08-07,A321,Airbus A321-231,FRU,1,ASF,2021-08-07 22:20:00,0,0,0
2021-08-07,B738,Boeing 737-82R,FRU,1,SAW,2021-08-07 22:10:00,0,0,0
2021-08-07,A321,Airbus A321-231,FRU,1,DME,2021-08-07 21:45:00,0,0,0
2021-08-07,74N,,FRU,1,GYD,2021-08-07 21:30:00,0,0,0
2021-08-07,A320,Airbus A320-214,FRU,1,VOZ,2021-08-07 20:20:00,0,0,0
2021-08-07,A21N,Airbus A321-271NX,FRU,1,IST,2021-08-07 19:55:00,0,0,0
2021-08-07,SU9,,FRU,1,CEK,2021-08-07 19:00:00,0,0,0
2021-08-07,RJ85,Avro RJ85,FRU,1,OSS,2021-08-07 16:20:00,0,0,0
2021-08-07,737,,FRU,1,SGC,2021-08-07 14:15:00,0,0,0
2021-08-07,A320,Airbus A320-231,FRU,1,OSS,2021-08-07 13:20:00,0,0,0
2021-08-07,RJ85,Avro RJ85,FRU,1,OSS,2021-08-07 13:00:00,0,0,0
2021-08-07,A321,Airbus A321-231,FRU,1,ALA,2021-08-07 12:55:00,0,0,0
2021-08-07,737,,FRU,1,LED,2021-08-07 12:50:00,0,0,0
2021-08-07,RJ85,Avro RJ85,FRU,1,OSS,2021-08-07 12:05:00,0,0,0
2021-08-07,737,,FRU,1,DME,2021-08-07 11:55:00,0,0,0
2021-08-07,33X,,FRU,1,ISL,2021-08-07 11:10:00,0,0,0
2021-08-07,7M8,,FRU,1,LED,2021-08-07 09:45:00,0,0,0
2021-08-07,A321,Airbus A321-211,FRU,1,SVO,2021-08-07 09:15:00,0,0,0
2021-08-07,A20N,Airbus A320-251N,FRU,1,AYT,2021-08-08 20:56:32,0,0,0
2021-08-07,B738,Boeing 737-8KN,FRU,1,DXB,2021-08-08 22:26:08,0,0,0
2021-08-07,A321,Airbus A321-211,FRU,1,SVO,2021-08-08 22:26:08,0,0,0
2021-08-07,B738,Boeing 737-8KN,FRU,0,0,0,1,DXB,2021-08-07 23:50:00
2021-08-07,A321,Airbus A321-231,FRU,0,0,0,1,ASF,2021-08-07 23:35:00
2021-08-07,B738,Boeing 737-82R,FRU,0,0,0,1,SAW,2021-08-07 23:30:00
2021-08-07,A321,Airbus A321-231,FRU,0,0,0,1,DME,2021-08-07 22:55:00
2021-08-07,A320,Airbus A320-214,FRU,0,0,0,1,VOZ,2021-08-07 21:35:00
2021-08-07,A21N,Airbus A321-271NX,FRU,0,0,0,1,IST,2021-08-07 21:05:00
2021-08-07,SU9,,FRU,0,0,0,1,CEK,2021-08-07 20:00:00
2021-08-07,737,,FRU,0,0,0,1,VOZ,2021-08-07 14:00:00
2021-08-07,A321,Airbus A321-231,FRU,0,0,0,1,ALA,2021-08-07 13:55:00
2021-08-07,RJ85,Avro RJ85,FRU,0,0,0,1,OSS,2021-08-07 13:45:00
2021-08-07,33X,,FRU,0,0,0,1,ISL,2021-08-07 12:35:00
2021-08-07,A320,Airbus A320-231,FRU,0,0,0,1,OSS,2021-08-07 11:00:00
2021-08-07,7M8,,FRU,0,0,0,1,LED,2021-08-07 10:55:00
2021-08-07,A321,Airbus A321-211,FRU,0,0,0,1,SVO,2021-08-07 10:25:00
2021-08-07,RJ85,Avro RJ85,FRU,0,0,0,1,OSS,2021-08-07 10:20:00
2021-08-07,RJ85,Avro RJ85,FRU,0,0,0,1,OSS,2021-08-07 09:50:00
2021-08-07,320,,FRU,0,0,0,1,AYT,2021-08-08 22:20:00
2021-08-07,738,,FRU,0,0,0,1,SAW,2021-08-08 23:30:00
2021-08-07,321,,FRU,0,0,0,1,SVO,2021-08-09 00:05:00
2021-08-07,73H,,FRU,0,0,0,1,KEJ,2021-08-09 01:10:00
2021-08-07,738,,FRU,0,0,0,1,SAW,2021-08-09 02:20:00
2021-08-07,73H,,FRU,0,0,0,1,GOJ,2021-08-09 13:10:00
2021-08-07,32S,,FRU,0,0,0,1,PEE,2021-08-10 01:55:00
2021-08-07,32S,,FRU,0,0,0,1,NBC,2021-08-10 07:45:00
2021-08-07,B744,Boeing 747-446(BCF),EGUN,1,WRI,2021-08-07 12:42:00,0,0,0
2021-08-07,B38M,Boeing 737 MAX 8,KLSV,0,0,0,1,SSC,2021-08-07 19:00:00
2021-08-07,CRJ7,Mitsubishi CRJ-701ER,KROW,1,DFW,2021-08-07 22:21:00,0,0,0
2021-08-07,C208,Cessna 208 Caravan,KROW,1,DHT,2021-08-07 22:18:01,0,0,0
2021-08-07,PC12,Pilatus PC-12/45,KROW,1,ELP,2021-08-07 18:48:44,0,0,0
2021-08-07,C208,Cessna 208 Caravan,KROW,1,PEQ,2021-08-07 13:57:47,0,0,0
2021-08-07,C208,Cessna 208B Super Cargomaster,KROW,1,LBB,2021-08-07 13:03:00,0,0,0
2021-08-07,C208,,KROW,1,LBB,2021-08-07 12:16:00,0,0,0
2021-08-07,PC12,Pilatus PC-12/45,KROW,1,ABQ,2021-08-07 10:01:22,0,0,0
2021-08-07,CRJ7,Mitsubishi CRJ-701ER,KROW,0,0,0,1,DFW,2021-08-07 22:51:00
2021-08-07,C208,Cessna 208 Caravan,KROW,0,0,0,1,DHT,2021-08-07 14:15:00
2021-08-07,PC12,Pilatus PC-12/45,KROW,0,0,0,1,HOB,2021-08-07 13:20:00
2021-08-07,CRJ7,Mitsubishi CRJ-701ER,KROW,0,0,0,1,PHX,2021-08-07 13:00:00
2021-08-07,CRJ7,Mitsubishi CRJ-701ER,KROW,0,0,0,1,DFW,2021-08-07 12:25:00
