,today,code,text,afb,is_arrived,from_where_a,a_time,is_departured,where_d,d_time,Unnamed: 0
55,2021-08-10,B752,Boeing 757-256,BIKF,0.0,0,0,1.0,DEN,2021-08-10 16:55:00,
56,2021-08-10,B752,Boeing 757-208,BIKF,0.0,0,0,1.0,PDX,2021-08-10 16:50:00,
57,2021-08-10,B753,Boeing 757-3E7,BIKF,0.0,0,0,1.0,IAD,2021-08-10 16:50:00,
58,2021-08-10,B38M,Boeing 737 MAX 8,BIKF,0.0,0,0,1.0,ORD,2021-08-10 16:45:00,
59,2021-08-10,B734,Boeing 737-4B3(SF),BIKF,0.0,0,0,1.0,DUB,2021-08-10 16:30:00,
60,2021-08-10,B38M,Boeing 737 MAX 8,BIKF,0.0,0,0,1.0,CPH,2021-08-10 16:10:00,
61,2021-08-10,A320,Airbus A320-232,BIKF,0.0,0,0,1.0,DTM,2021-08-10 15:50:00,
62,2021-08-10,A320,Airbus A320-214,BIKF,0.0,0,0,1.0,VIE,2021-08-10 15:35:00,
63,2021-08-10,B788,Boeing 787-8 Dreamliner,BIKF,0.0,0,0,1.0,TLV,2021-08-10 14:15:00,
64,2021-08-10,A20N,Airbus A320-271N,BIKF,0.0,0,0,1.0,FRA,2021-08-10 13:35:00,
65,2021-08-10,73W,,BIKF,0.0,0,0,1.0,OSL,2021-08-10 11:25:00,
66,2021-08-10,B752,Boeing 757-224,BIKF,0.0,0,0,1.0,EWR,2021-08-10 11:20:00,
67,2021-08-10,B763,Boeing 767-332(ER),BIKF,0.0,0,0,1.0,JFK,2021-08-10 11:15:00,
68,2021-08-10,CRJ9,Mitsubishi CRJ-900LR,BIKF,0.0,0,0,1.0,YYR,2021-08-10 10:45:00,
69,2021-08-10,A21N,Airbus A321-251NX,BIKF,0.0,0,0,1.0,LHR,2021-08-10 10:45:00,
70,2021-08-10,B752,Boeing 757-224,BIKF,0.0,0,0,1.0,ORD,2021-08-10 10:30:00,
71,2021-08-10,A20N,Airbus A320-251N,BIKF,0.0,0,0,1.0,CPH,2021-08-10 10:30:00,
72,2021-08-10,32Q,,BIKF,0.0,0,0,1.0,TFS,2021-08-10 10:10:00,
73,2021-08-10,B752,Boeing 757-26D,BIKF,0.0,0,0,1.0,BOS,2021-08-10 10:05:00,
74,2021-08-10,32Q,,BIKF,0.0,0,0,1.0,ALC,2021-08-10 09:54:00,
75,2021-08-10,B752,Boeing 757-26D,BIKF,0.0,0,0,1.0,MSP,2021-08-10 09:30:00,
76,2021-08-10,A320,Airbus A320-214,BIKF,0.0,0,0,1.0,PRG,2021-08-12 02:00:00,
77,2021-08-10,320,,BIKF,0.0,0,0,1.0,MAN,2021-08-12 09:00:00,
78,2021-08-10,B38M,Boeing 737 MAX 8,BIKF,0.0,0,0,1.0,BOS,2021-08-12 09:30:00,
79,2021-08-10,B752,Boeing 757-26D,BIKF,0.0,0,0,1.0,MSP,2021-08-12 09:40:00,
80,2021-08-10,B752,Boeing 757-224,BIKF,0.0,0,0,1.0,EWR,2021-08-12 09:30:00,
81,2021-08-10,B752,Boeing 757-26D,BIKF,0.0,0,0,1.0,BOS,2021-08-12 10:15:00,
82,2021-08-10,B752,Boeing 757-224,BIKF,0.0,0,0,1.0,ORD,2021-08-12 10:49:00,
83,2021-08-10,B763,Boeing 767-332(ER),BIKF,0.0,0,0,1.0,JFK,2021-08-12 11:25:00,
84,2021-08-10,B752,Boeing 757-224,BIKF,0.0,0,0,1.0,EWR,2021-08-12 11:39:00,
85,2021-08-10,320,,BIKF,0.0,0,0,1.0,EDI,2021-08-12 15:05:00,
86,2021-08-10,B39M,Boeing 737 MAX 9,BIKF,0.0,0,0,1.0,MSP,2021-08-12 16:55:00,
87,2021-08-10,B38M,Boeing 737 MAX 8,BIKF,0.0,0,0,1.0,ORD,2021-08-12 16:55:00,
88,2021-08-10,B752,Boeing 757-256,BIKF,0.0,0,0,1.0,PDX,2021-08-12 17:00:00,
89,2021-08-10,B763,Boeing 767-319(ER),BIKF,0.0,0,0,1.0,IAD,2021-08-12 17:00:00,
90,2021-08-10,B752,Boeing 757-208,BIKF,0.0,0,0,1.0,DEN,2021-08-12 17:05:00,
91,2021-08-10,B763,Boeing 767-319(ER),BIKF,0.0,0,0,1.0,JFK,2021-08-12 17:10:00,
92,2021-08-10,B38M,Boeing 737 MAX 8,BIKF,0.0,0,0,1.0,EWR,2021-08-12 17:10:00,
93,2021-08-10,B752,Boeing 757-208,BIKF,0.0,0,0,1.0,SEA,2021-08-12 17:15:00,
94,2021-08-10,B763,Boeing 767-319(ER),BIKF,0.0,0,0,1.0,BOS,2021-08-12 17:25:00,
95,2021-08-10,B752,Boeing 757-256,BIKF,0.0,0,0,1.0,SEA,2021-08-12 18:00:00,
96,2021-08-10,737,,BIKF,0.0,0,0,1.0,OSL,2021-08-12 19:05:00,
97,2021-08-10,B738,Boeing 737-86N,KUV,0.0,0,0,1.0,CJU,2021-08-10 09:00:00,
98,2021-08-10,737,,KUV,0.0,0,0,1.0,CJU,2021-08-10 09:00:00,
99,2021-08-10,738,,KUV,0.0,0,0,1.0,CJU,2021-08-12 01:10:00,
100,2021-08-10,737,,KUV,0.0,0,0,1.0,CJU,2021-08-12 02:10:00,
101,2021-08-10,738,,KUV,0.0,0,0,1.0,CJU,2021-08-12 08:00:00,
102,2021-08-10,A321,Airbus A321-231,FRU,1.0,KZN,2021-08-10 23:45:00,0.0,0,0,
103,2021-08-10,737,,FRU,1.0,KRR,2021-08-10 23:20:00,0.0,0,0,
104,2021-08-10,A320,Airbus A320-214,FRU,1.0,KWI,2021-08-10 23:10:00,0.0,0,0,
105,2021-08-10,A321,Airbus A321-211,FRU,1.0,SVO,2021-08-10 22:50:00,0.0,0,0,
106,2021-08-10,B738,Boeing 737-8KN,FRU,1.0,DXB,2021-08-10 22:40:00,0.0,0,0,
107,2021-08-10,B738,Boeing 737-82R,FRU,1.0,SAW,2021-08-10 22:10:00,0.0,0,0,
108,2021-08-10,737,,FRU,1.0,DME,2021-08-10 21:30:00,0.0,0,0,
109,2021-08-10,A20N,Airbus A320-251N,FRU,1.0,AYT,2021-08-10 21:05:00,0.0,0,0,
110,2021-08-10,737,,FRU,1.0,KJA,2021-08-10 20:50:00,0.0,0,0,
111,2021-08-10,A321,Airbus A321-231,FRU,1.0,DME,2021-08-10 20:45:00,0.0,0,0,
112,2021-08-10,B738,Boeing 737-8LP,FRU,1.0,KZN,2021-08-10 20:30:00,0.0,0,0,
113,2021-08-10,A21N,Airbus A321-271NX,FRU,1.0,IST,2021-08-10 19:55:00,0.0,0,0,
114,2021-08-10,73H,,FRU,1.0,GOJ,2021-08-10 19:30:00,0.0,0,0,
115,2021-08-10,A20N,Airbus A320-271N,FRU,1.0,KJA,2021-08-10 19:10:00,0.0,0,0,
116,2021-08-10,737,,FRU,1.0,ALA,2021-08-10 18:25:00,0.0,0,0,
117,2021-08-10,AR8,,FRU,1.0,OSS,2021-08-10 16:20:00,0.0,0,0,
118,2021-08-10,A320,Airbus A320-231,FRU,1.0,OSS,2021-08-10 13:20:00,0.0,0,0,
119,2021-08-10,32S,,FRU,1.0,MRV,2021-08-10 13:10:00,0.0,0,0,
